#   <copyright 
#    notice="oco-source" 
#    pids="5724-H72,5655-R36,5655-L82,5724-L26," 
#    years="1997,2012" 
#    crc="338574817" > 
#    IBM Confidential 
#     
#    OCO Source Materials 
#     
#    5724-H72,5655-R36,5655-L82,5724-L26, 
#     
#    (C) Copyright IBM Corp. 1997, 2012 
#     
#    The source code for the program is not published 
#    or otherwise divested of its trade secrets, 
#    irrespective of what has been deposited with the 
#    U.S. Copyright Office. 
#    </copyright> 
#  %Z% %W% %I% %E% %U%
#________________________________________________________________________
#
# (C) COPYRIGHT International Business Machines Corp. 1997
#     All Rights Reserved
#
#________________________________________________________________________
#
# Name:            Mapping table from IBM CCSID 930 to ISO 10646
#
# Creation date:   Fri Apr 25 15:03:10 1997
#
# Table Version:   
#
# Table Owner:     NLTC, IBM Canada Ltd.
#
# Table Format:
#                  Columns separated by spaces:
#                    Col1: (pos.  1-4  ) IBM CCSID 930 code in hex
#                    Col2: (pos. 14-17 ) ISO 10646 code in hex
#                    Col3: (pos. 27-34 ) IBM GCGID
# Substitution  :
#             U+001A     for SBCS
#             U+FFFD     for DBCS
#
# Extracted by:    dextract (Version 1.00)
#
# Extracted from:  IBMJ2UCS.NNEW111
#
# PUA used:        NO
#
# Round-Trip:      YES
#
# Sorting:         The entries are in IBM CCSID 930 order
#
#________________________________________________________________________
# IBM-930    UCS-2        GCGID
44EB         25BD         SM740080
44EC         25BC         SV040080
44ED         00B0         SM190080
44EE         2032         SM500080
44EF         2033         SM510080
44F0         2192         SM310080
44F1         2190         SM300080
44F2         2191         SM320080
44F3         2193         SM330080
4541         4E00         I0QP0080
4542         4E8C         I0QQ0080
4543         4E09         I0QR0080
4544         56DB         I0QS0080
4545         4E94         I0QT0080
4546         516D         I0QU0080
4547         4E03         I0QV0080
4548         516B         I0QW0080
4549         4E5D         I0QX0080
454A         5341         I0QY0080
454B         767E         I0QZ0080
454C         5343         I0R00080
454D         4E07         I0R10080
454E         5104         I0R20080
454F         90FD         I0R30080
4550         9053         I0R40080
4551         5E9C         I0R50080
4552         770C         I0R60080
4553         5E02         I0R70080
4554         533A         I0R80080
4555         753A         I0R90080
4556         6751         I0RA0080
4557         6771         I0RB0080
4558         897F         I0RC0080
4559         5357         I0RD0080
455A         5317         I0RE0080
455B         5927         I0RF0080
455C         4E2D         I0RG0080
455D         5C0F         I0RH0080
455E         4E0A         I0RI0080
455F         4E0B         I0RJ0080
4560         5E74         I0RK0080
4561         6708         I0RL0080
4562         65E5         I0RM0080
4563         7530         I0RN0080
4564         5B50         I0RO0080
4565         5C71         I0RP0080
4566         672C         I0RQ0080
4567         5DDD         I0RR0080
4568         85E4         I0RS0080
4569         91CE         I0RT0080
456A         5DE5         I0RU0080
456B         696D         I0RV0080
456C         6728         I0RW0080
456D         4E95         I0RX0080
456E         90CE         I0RY0080
456F         5CF6         I0RZ0080
4570         96C4         I0S00080
4571         9AD8         I0S10080
4572         5CA1         I0S20080
4573         592B         I0S30080
4574         539F         I0S40080
4575         4EAC         I0S50080
4576         4F50         I0S60080
4577         6B63         I0S70080
4578         677E         I0S80080
4579         6A5F         I0S90080
457A         548C         I0SA0080
457B         88FD         I0SB0080
457C         7537         I0SC0080
457D         7F8E         I0SD0080
457E         5409         I0SE0080
457F         5D0E         I0SF0080
4580         77F3         I0SG0080
4581         8C37         I0SH0080
4582         96FB         I0SI0080
4583         9577         I0SJ0080
4584         6CBB         I0SK0080
4585         6CA2         I0SL0080
4586         91D1         I0SM0080
4587         65B0         I0SN0080
4588         53E3         I0SO0080
4589         6A4B         I0SP0080
458A         4E45         I0SQ0080
458B         798F         I0SR0080
458C         6240         I0SS0080
458D         5E73         I0ST0080
458E         5185         I0SU0080
458F         56FD         I0SV0080
4590         5316         I0SW0080
4591         962A         I0SX0080
4592         5BAE         I0SY0080
